iter	MultiClass
0	2.659454001
1	2.468343231
2	2.324926535
3	2.20836848
4	2.109876681
5	2.024466176
6	1.949128317
7	1.881228045
8	1.820890214
9	1.767451895
10	1.717475742
11	1.671855889
12	1.630106304
13	1.591594414
14	1.554627973
15	1.520474541
16	1.488663197
17	1.459480999
18	1.430987631
19	1.404615698
20	1.378647743
21	1.354424725
22	1.331411885
23	1.31057156
24	1.288327273
25	1.266395811
26	1.246261671
27	1.22671846
28	1.209197589
29	1.192368947
30	1.176396987
31	1.160071409
32	1.144255379
33	1.12948687
34	1.115439944
35	1.101471723
36	1.089002862
37	1.0766458
38	1.064703554
39	1.052231908
40	1.040691034
41	1.029956776
42	1.01928504
43	1.009446263
44	0.999550978
45	0.9905464936
46	0.9810356153
47	0.9724012891
48	0.9639542077
49	0.9551891459
50	0.9474762136
51	0.9388684836
52	0.9318540198
53	0.9235347956
54	0.9159640148
55	0.9082725064
56	0.9014292551
57	0.8947702629
58	0.8889625532
59	0.8825661863
60	0.8765017985
61	0.8705116426
62	0.864056178
63	0.8576133555
64	0.8515269626
65	0.8455154718
66	0.8398707219
67	0.8354160667
68	0.8309805832
69	0.8266537086
70	0.8213575162
71	0.8163373688
72	0.8123270752
73	0.8082370452
74	0.8042195932
75	0.7994216823
76	0.7947061146
77	0.7908689732
78	0.7877140548
79	0.7842829747
80	0.7804190022
81	0.7770088442
82	0.7728311357
83	0.7700135946
84	0.7664010861
85	0.7633614559
86	0.7600496
87	0.7575749231
88	0.7546412062
89	0.7515846245
90	0.7492708671
91	0.745791617
92	0.742470734
93	0.7397622128
94	0.7372599607
95	0.7348010793
96	0.7315587732
97	0.7289845175
98	0.7259792771
99	0.723944763
100	0.7217015326
101	0.7192167492
102	0.7170335711
103	0.7149386242
104	0.7121754613
105	0.7103649232
106	0.7083417252
107	0.706669714
108	0.7044187076
109	0.70202656
110	0.7001835677
111	0.6983820647
112	0.6959503858
113	0.6942424919
114	0.692479413
115	0.6905056412
116	0.6879596575
117	0.6863234634
118	0.6848142982
119	0.6831840001
120	0.6817118036
121	0.6803762582
122	0.6788556322
123	0.6772851402
124	0.6755276373
125	0.6741188647
126	0.6727014365
127	0.6707299051
128	0.6696606224
129	0.6685600929
130	0.6667497097
131	0.6656117598
132	0.6635472197
133	0.6616694991
134	0.6597480696
135	0.6585952761
136	0.6577026749
137	0.6559288893
138	0.6543812688
139	0.6528464951
140	0.6518160745
141	0.6501284986
142	0.6485403038
143	0.6475535593
144	0.6467511272
145	0.6454139468
146	0.6440671411
147	0.6430601303
148	0.6421047921
149	0.6406820506
150	0.6392572565
151	0.6380590745
152	0.6370744454
153	0.6359728636
154	0.6343552343
155	0.6335338166
156	0.6329538263
157	0.6319457624
158	0.6306405068
159	0.6295192668
160	0.6283651774
161	0.6274948952
162	0.6263712114
163	0.6256418615
164	0.6247884518
165	0.6240384136
166	0.6226317607
167	0.6212387294
168	0.6206478954
169	0.6201491062
170	0.6191064383
171	0.6179739664
172	0.6166139306
173	0.6152104777
174	0.6147039184
175	0.6141378538
176	0.612886329
177	0.6116210127
178	0.6105698347
179	0.609307385
180	0.6083237905
181	0.6077654155
182	0.6072510252
183	0.6061594574
184	0.6049691058
185	0.6045660687
186	0.6034227535
187	0.6021355516
188	0.6012829371
189	0.6003677911
190	0.5994327244
191	0.5983791523
192	0.5979252459
193	0.597097642
194	0.5958388493
195	0.5951047999
196	0.5938568222
197	0.5928826424
198	0.5924483344
199	0.5914891492
200	0.5912140915
201	0.5903607584
202	0.5894587227
203	0.5886579183
204	0.5880911074
205	0.5869632191
206	0.5860103016
207	0.5850616567
208	0.5841852755
209	0.5833472303
210	0.5829852765
211	0.581822092
212	0.5815303677
213	0.5810987083
214	0.5801430809
215	0.5792575923
216	0.578459025
217	0.577776376
218	0.5771066042
219	0.5766157491
220	0.576176324
221	0.5755495014
222	0.5748847303
223	0.57459114
224	0.5737999111
225	0.5726489106
226	0.5719088584
227	0.5714365995
228	0.5706576889
229	0.5704051275
230	0.5694572529
231	0.5689048297
232	0.5681599254
233	0.5674988262
234	0.5667985091
235	0.5661848185
236	0.5656828183
237	0.5649057986
238	0.5644419866
239	0.5639204197
240	0.5630486426
241	0.5622757658
242	0.5617970122
243	0.561090835
244	0.5603266006
245	0.5601368393
246	0.5598065415
247	0.5590688602
248	0.5582841661
249	0.5579004658
250	0.5572677922
251	0.5563498039
252	0.5561869794
253	0.5554913242
254	0.5548220322
255	0.5543012076
256	0.5539377987
257	0.553556113
258	0.5528130484
259	0.552393461
260	0.5516687841
261	0.5510605844
262	0.5505307129
263	0.5499060913
264	0.5494181326
265	0.5489420856
266	0.5484569465
267	0.5483191634
268	0.5477839585
269	0.547468846
270	0.5469088363
271	0.5463726691
272	0.5455980075
273	0.5449465745
274	0.5443229119
275	0.5436502752
276	0.5430224716
277	0.5425252115
278	0.5416978245
279	0.5411269422
280	0.5405818861
281	0.5403276276
282	0.539746973
283	0.5392204948
284	0.538636507
285	0.5382289044
286	0.5379113835
287	0.5376033332
288	0.5370993433
289	0.536546815
290	0.5360032112
291	0.5353112449
292	0.5351569511
293	0.534627435
294	0.5342240452
295	0.533876677
296	0.5335745009
297	0.5330364959
298	0.5325988197
299	0.5322264492
300	0.531763024
301	0.531497791
302	0.5313266131
303	0.531093442
304	0.5306331858
305	0.529997503
306	0.529615339
307	0.5290875032
308	0.5287034777
309	0.5283013018
310	0.5280604024
311	0.5276421444
312	0.5274434312
313	0.5270563331
314	0.5265909122
315	0.5262158636
316	0.5256944501
317	0.5252323186
318	0.5249028622
319	0.5245031497
320	0.5241750174
321	0.5239779359
322	0.5236144557
323	0.5234084516
324	0.5230358094
325	0.5225642027
326	0.522062659
327	0.5219147689
328	0.5215099026
329	0.5212729352
330	0.5207297899
331	0.5203393748
332	0.5199058101
333	0.5194041732
334	0.5189302577
335	0.5187677917
336	0.5184583466
337	0.5182796123
338	0.5179892161
339	0.5176837217
340	0.5172698828
341	0.5169352955
342	0.5168010803
343	0.5164461984
344	0.5160051282
345	0.5155953854
346	0.5153021767
347	0.5150191248
348	0.5146638447
349	0.5142966904
350	0.5140113969
351	0.5137099128
352	0.5134491528
353	0.5132724604
354	0.5127886473
355	0.512264431
356	0.5119864905
357	0.5116283128
358	0.5114647186
359	0.5110393967
360	0.5107389511
361	0.5106195381
362	0.5104287505
363	0.51004398
364	0.5099632934
365	0.5095833385
366	0.5092326053
367	0.5088007861
368	0.5085151428
369	0.5082673632
370	0.5080164333
371	0.507866893
372	0.5075327732
373	0.5074333666
374	0.5071482893
375	0.5068869508
376	0.5064810084
377	0.5061444943
378	0.5058408005
379	0.505589062
380	0.5051259068
381	0.5050511176
382	0.5048866763
383	0.5046788498
384	0.5044533856
385	0.5041720525
386	0.5037588008
387	0.5034151753
388	0.5030397235
389	0.5027371491
390	0.502449807
391	0.5021420481
392	0.5019053693
393	0.5015239689
394	0.5014168886
395	0.5010843211
396	0.5007003466
397	0.5004287394
398	0.500151039
399	0.499796066
400	0.4995610971
401	0.4993942226
402	0.4991722315
403	0.4989197381
404	0.4987755826
405	0.4985187717
406	0.4982992937
407	0.4979943554
408	0.4976979548
409	0.4973723038
410	0.4971663704
411	0.4968934253
412	0.4968062257
413	0.496469471
414	0.4962466243
415	0.4960749353
416	0.4958725929
417	0.4956272917
418	0.495503303
419	0.4952048434
420	0.4948323497
421	0.4947032512
422	0.4944709836
423	0.4941668933
424	0.493936111
425	0.4935929454
426	0.4932447256
427	0.4929160148
428	0.4927257861
429	0.4925911875
430	0.4925003998
431	0.4924132617
432	0.4921382811
433	0.4920121585
434	0.4919299677
435	0.4918346296
436	0.4915471334
437	0.4912652148
438	0.4909501178
439	0.4908303283
440	0.4904418953
441	0.4901200916
442	0.4899309741
443	0.489687138
444	0.4894865405
445	0.4892475346
446	0.4891275378
447	0.4888980739
448	0.4887043886
449	0.4884626709
450	0.4881691984
451	0.4880438157
452	0.4877919155
453	0.487527703
454	0.4874474706
455	0.4873727608
456	0.4871967629
457	0.4870074438
458	0.4868352645
459	0.4866022009
460	0.4863644222
461	0.4861474273
462	0.4859105445
463	0.48579031
464	0.4856974814
465	0.4853884822
466	0.4852663228
467	0.4850558371
468	0.4847637238
469	0.4845335852
470	0.4842972947
471	0.4839855492
472	0.4839217003
473	0.4837591247
474	0.4835680023
475	0.4833713133
476	0.4832704442
477	0.4830908816
478	0.4829828114
479	0.4826930565
480	0.4825863572
481	0.4825198559
482	0.48238645
483	0.4823243921
484	0.4822493503
485	0.4821181716
486	0.4818964427
487	0.4817595348
488	0.4816413325
489	0.4813752985
490	0.4811686661
491	0.4809344736
492	0.4806653809
493	0.4804018636
494	0.4802672786
