iter	Passed	Remaining
0	256	5127699
1	507	5069967
2	805	5371906
3	1053	5267692
4	1305	5222205
5	1578	5259163
6	1871	5345464
7	2168	5417867
8	2455	5454837
9	2725	5447573
10	2984	5422760
11	3234	5386901
12	3484	5357015
13	3739	5338968
14	4025	5362691
15	4338	5419215
16	4612	5421969
17	4871	5408347
18	5115	5379471
19	5377	5372163
20	5650	5375781
21	5903	5360807
22	6186	5373363
23	6478	5392140
24	6788	5424184
25	7140	5485768
26	7415	5485252
27	7748	5526662
28	8104	5581345
29	8434	5614614
30	8696	5602178
31	8972	5598937
32	9281	5616103
33	9634	5657531
34	9955	5679021
35	10312	5718809
36	10689	5767627
37	11060	5810053
38	11351	5809680
39	11610	5793414
40	11899	5792752
41	12153	5775279
42	12400	5755373
43	12654	5739252
44	13043	5784073
45	13563	5883635
46	13949	5922138
47	14269	5931479
48	14562	5929320
49	14825	5915537
50	15117	5913312
51	15368	5895557
52	15639	5885952
53	15935	5886278
54	16186	5869946
55	16435	5853431
56	16709	5846269
57	16958	5830926
58	17205	5815109
59	17451	5799585
60	17702	5786247
61	17948	5771839
62	18204	5760951
63	18455	5748968
64	18698	5734795
65	18949	5723445
66	19193	5710263
67	19467	5706150
68	19753	5705776
69	20086	5718860
70	20392	5724107
71	20680	5723777
72	20925	5712198
73	21176	5702233
74	21435	5694674
75	21700	5689033
76	21975	5685921
77	22238	5679874
78	22511	5676553
79	22781	5672487
80	23055	5669643
81	23306	5661169
82	23564	5654585
83	23817	5647016
84	24068	5639112
85	24316	5630782
86	24565	5622586
87	24808	5613408
88	25054	5605208
89	25323	5602065
90	25617	5604706
91	25916	5608044
92	26232	5615235
93	26509	5613767
94	26752	5605308
95	26996	5597231
96	27250	5591327
97	27490	5582901
98	27732	5574888
99	27979	5567993
100	28231	5562117
101	28475	5554946
102	28718	5547611
103	28965	5541305
104	29213	5535253
105	29491	5534872
106	29733	5527946
107	29980	5521903
108	30230	5516651
109	30481	5511683
110	30728	5506000
111	31017	5507789
112	31304	5509284
113	31612	5514368
114	31913	5518194
115	32210	5521318
116	32468	5517785
117	32767	5521099
118	33025	5517541
119	33271	5511944
120	33516	5506456
121	33772	5502702
122	34026	5498713
123	34280	5494891
124	34539	5491767
125	34790	5487552
126	35051	5484817
127	35440	5502150
128	35811	5516398
129	36106	5518685
130	36361	5515081
131	36620	5511867
132	36918	5514718
133	37197	5514693
134	37485	5515870
135	37767	5516277
136	38049	5516639
137	38297	5512098
138	38539	5506778
139	38789	5502603
140	39073	5503260
141	39322	5499083
142	39573	5495239
143	39822	5491109
144	40066	5486383
145	40313	5482149
146	40560	5477836
147	40802	5473006
148	41048	5468863
149	41295	5464825
150	41540	5460462
151	41781	5455772
152	42027	5451764
153	42316	5453339
154	42578	5451425
155	42837	5449103
156	43098	5447170
157	43379	5447658
158	43678	5450448
159	43948	5449646
160	44205	5447156
161	44451	5443390
162	44699	5439866
163	44948	5436534
164	45196	5433182
165	45474	5433396
166	45721	5429942
167	45963	5425938
168	46208	5422258
169	46450	5418318
170	46696	5414872
171	46938	5411079
172	47183	5407542
173	47427	5404000
174	47671	5400547
175	47918	5397353
176	48179	5395788
177	48451	5395529
178	48757	5399019
179	49060	5402112
180	49347	5403366
181	49631	5404335
182	49877	5401268
183	50137	5399625
184	50387	5396957
185	50639	5394446
186	50884	5391284
187	51130	5388295
188	51379	5385639
189	51630	5383181
190	51925	5385266
191	52176	5382843
192	52435	5381331
193	52678	5378075
194	52925	5375337
195	53168	5372180
196	53417	5369646
197	53659	5366464
198	53904	5363609
199	54158	5361710
200	54418	5360350
201	54691	5360276
202	55026	5366314
203	55313	5367560
204	55567	5365667
205	55812	5362839
206	56055	5359929
207	56298	5356990
208	56545	5354484
209	56792	5352001
210	57036	5349291
211	57282	5346702
212	57527	5344128
213	57769	5341235
214	58030	5340165
215	58309	5340728
216	58554	5338206
217	58801	5335818
218	59045	5333207
219	59290	5330768
220	59543	5329034
221	59796	5327278
222	60068	5327241
223	60331	5326440
224	60620	5327887
225	60904	5328874
226	61172	5328497
227	61459	5329698
228	61703	5327254
229	61948	5324843
230	62191	5322369
231	62442	5320522
232	62698	5319157
233	62947	5317150
234	63195	5315159
235	63439	5312777
236	63684	5310523
237	63930	5308365
238	64178	5306371
239	64463	5307528
240	64772	5310499
